  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    180.0000         38        7.355150          -0.1650000E-09        1.899999    
    180.0000        105        7.276733          -0.1409948E-09        1.900000    
    180.0000        281        6.880434          -0.4507247E-05        1.900000    
    180.0000        433        6.661180          -0.1966236E-05        1.900000    
    180.0000        619        6.405887          -0.2135142E-05        1.900000    
    360.0000         38       0.8942250E-01      -0.1650000E-09       0.9999947E-01
    360.0000        105       0.2444546          -0.1409948E-09       0.9999971E-01
    360.0000        281       0.3792097          -0.4507247E-05       0.1000000    
    360.0000        433       0.5832252          -0.1966236E-05       0.9999993E-01
    360.0000        619       0.7924063          -0.2135142E-05       0.9999993E-01
    540.0000         38        7.266282          -0.1650000E-09       -1.700001    
    540.0000        105        7.036415          -0.1409948E-09       -1.700000    
    540.0000        281        6.094255          -0.4507247E-05       -1.700000    
    540.0000        433        5.553225          -0.1966236E-05       -1.700000    
    540.0000        619        4.950567          -0.2135142E-05       -1.700000    
    720.0000         38       0.1777316          -0.1650000E-09       -3.500001    
    720.0000        105       0.4806657          -0.1409948E-09       -3.500000    
    720.0000        281       0.7069488          -0.4507247E-05       -3.500000    
    720.0000        433        1.053749          -0.1966236E-05       -3.499999    
    720.0000        619        1.374464          -0.2135142E-05       -3.500000    
    900.0000         38        7.178522          -0.1650000E-09       -5.300001    
    900.0000        105        6.804246          -0.1409948E-09       -5.300000    
    900.0000        281        5.358023          -0.4507247E-05       -5.299999    
    900.0000        433        4.552944          -0.1966236E-05       -5.299998    
    900.0000        619        3.692443          -0.2135142E-05       -5.300000    
    1080.000         38       0.2649366          -0.1650000E-09       -7.100002    
    1080.000        105       0.7088210          -0.1409948E-09       -7.100000    
    1080.000        281       0.9862310          -0.4507247E-05       -7.099998    
    1080.000        433        1.421457          -0.1966236E-05       -7.099998    
    1080.000        619        1.771859          -0.2135142E-05       -7.100000    
    1260.000         38        7.091862          -0.1650000E-09       -8.900002    
    1260.000        105        6.580040          -0.1409948E-09       -8.900001    
    1260.000        281        4.668791          -0.4507247E-05       -8.899997    
    1260.000        433        3.650785          -0.1966236E-05       -8.899997    
    1260.000        619        2.607041          -0.2135142E-05       -8.900000    
    1440.000         38       0.3510472          -0.1650000E-09       -10.70000    
    1440.000        105       0.9291048          -0.1409948E-09       -10.70000    
    1440.000        281        1.219937          -0.4507247E-05       -10.70000    
    1440.000        433        1.695577          -0.1966236E-05       -10.70000    
    1440.000        619        2.007901          -0.2135142E-05       -10.70000    
    1620.000         38        7.006292          -0.1650000E-09       -12.50000    
    1620.000        105        6.363615          -0.1409948E-09       -12.50000    
    1620.000        281        4.023745          -0.4507247E-05       -12.49999    
    1620.000        433        2.837835          -0.1966236E-05       -12.49999    
    1620.000        619        1.672177          -0.2135142E-05       -12.50000    
    1800.000         38       0.4360725          -0.1650000E-09       -14.30000    
    1800.000        105        1.141698          -0.1409948E-09       -14.30000    
    1800.000        281        1.410817          -0.4507247E-05       -14.29999    
    1800.000        433        1.884716          -0.1966236E-05       -14.29999    
    1800.000        619        2.103693          -0.2135142E-05       -14.30000    
    1980.000         38        6.921802          -0.1650000E-09       -16.10000    
    1980.000        105        6.154790          -0.1409948E-09       -16.10000    
    1980.000        281        3.420195          -0.4507247E-05       -16.09999    
    1980.000        433        2.105786          -0.1966236E-05       -16.09999    
    1980.000        619       0.8677844          -0.2135142E-05       -16.10000    
    2160.000         38       0.5200220          -0.1650000E-09       -17.90000    
    2160.000        105        1.346780          -0.1409948E-09       -17.90000    
    2160.000        281        1.561500          -0.4507247E-05       -17.89998    
    2160.000        433        1.996894          -0.1966236E-05       -17.89998    
    2160.000        619        2.078304          -0.2135142E-05       -17.90000    
    2340.000         38        6.838383          -0.1650000E-09       -19.70000    
    2340.000        105        5.953391          -0.1409948E-09       -19.70000    
    2340.000        281        2.855575          -0.4507247E-05       -19.69998    
    2340.000        433        1.446899          -0.1966236E-05       -19.69998    
    2340.000        619       0.1757536          -0.2135142E-05       -19.70000    
    2520.000         38       0.6029049          -0.1650000E-09       -21.50000    
    2520.000        105        1.544523          -0.1409948E-09       -21.50000    
    2520.000        281        1.674493          -0.4507247E-05       -21.49998    
    2520.000        433        2.039573          -0.1966236E-05       -21.49998    
    2520.000        619        1.948923          -0.2135142E-05       -21.50000    
    2700.000         38        6.756027          -0.1650000E-09       -23.30000    
    2700.000        105        5.759242          -0.1409948E-09       -23.30000    
    2700.000        281        2.327435          -0.4507247E-05       -23.29997    
    2700.000        433       0.8539806          -0.1966236E-05       -23.29997    
    2700.000        619      -0.4202189          -0.2135142E-05       -23.30000    
    2880.000         38       0.6847303          -0.1650000E-09       -25.10000    
    2880.000        105        1.735102          -0.1409948E-09       -25.09999    
    2880.000        281        1.752190          -0.4507247E-05       -25.09997    
    2880.000        433        2.019691          -0.1966236E-05       -25.09997    
    2880.000        619        1.731003          -0.2135142E-05       -25.10000    
    3060.000         38        6.674723          -0.1650000E-09       -26.90000    
    3060.000        105        5.572174          -0.1409948E-09       -26.89999    
    3060.000        281        1.833439          -0.4507247E-05       -26.89996    
    3060.000        433       0.3203435          -0.1966236E-05       -26.89996    
    3060.000        619      -0.9347725          -0.2135142E-05       -26.90000    
    3240.000         38       0.7655074          -0.1650000E-09       -28.70000    
    3240.000        105        1.918683          -0.1409948E-09       -28.69999    
    3240.000        281        1.796870          -0.4507247E-05       -28.69995    
    3240.000        433        1.943688          -0.1966236E-05       -28.69996    
    3240.000        619        1.438403          -0.2135142E-05       -28.70000    
    3420.000         38        6.594463          -0.1650000E-09       -30.50000    
    3420.000        105        5.392019          -0.1409948E-09       -30.49998    
    3420.000        281        1.371358          -0.4507247E-05       -30.49995    
    3420.000        433      -0.1602153          -0.1966236E-05       -30.49995    
    3420.000        619       -1.381014          -0.2135142E-05       -30.50000    
    3600.000         38       0.8452452          -0.1650000E-09       -32.29999    
    3600.000        105        2.095434          -0.1409948E-09       -32.29998    
    3600.000        281        1.810710          -0.4507247E-05       -32.29994    
    3600.000        433        1.817537          -0.1966236E-05       -32.29995    
    3600.000        619        1.083510          -0.2135142E-05       -32.30000    
    3780.000         38        6.515238          -0.1650000E-09       -34.09999    
    3780.000        105        5.218613          -0.1409948E-09       -34.09999    
    3780.000        281       0.9390711          -0.4507247E-05       -34.09993    
    3780.000        433      -0.5934441          -0.1966236E-05       -34.09994    
    3780.000        619       -1.770643          -0.2135142E-05       -34.09999    
    3960.000         38       0.9239528          -0.1650000E-09       -35.89998    
    3960.000        105        2.265517          -0.1409948E-09       -35.89998    
    3960.000        281        1.795780          -0.4507247E-05       -35.89993    
    3960.000        433        1.646768          -0.1966236E-05       -35.89993    
    3960.000        619       0.6773618          -0.2135142E-05       -35.89999    
    4140.000         38        6.437038          -0.1650000E-09       -37.69998    
    4140.000        105        5.051795          -0.1409948E-09       -37.69999    
